label,class_name,class_weight
0,Apple___Apple_scab,2.268379281537176
1,Apple___Black_rot,2.3049660441426147
2,Apple___Cedar_apple_rust,5.196650717703349
3,Apple___healthy,0.8687410014397696
4,Blueberry___healthy,0.9511340747876347
5,Cherry_(including_sour)___Powdery_mildew,1.3577947243405426
6,Cherry_(including_sour)___healthy,1.6714373653431824
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,2.788446726572529
8,Corn_(maize)___Common_rust_,1.199646545534876
9,Corn_(maize)___Northern_Leaf_Blight,1.4508415709324072
10,Corn_(maize)___healthy,1.2306384907370687
11,Grape___Black_rot,1.2110838537020518
12,Grape___Esca_(Black_Measles),1.0327580468787143
13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.327831774558347
14,Grape___healthy,3.3724576929048284
15,Orange___Haunglongbing_(Citrus_greening),0.2595376067865464
16,Peach___Bacterial_spot,0.6220147757860375
17,Peach___healthy,3.9696637426900585
18,"Pepper,_bell___Bacterial_spot",1.4344581654890047
19,"Pepper,_bell___healthy",0.966410108110513
20,Potato___Early_blight,1.4290789473684211
21,Potato___Late_blight,1.4290789473684211
22,Potato___healthy,9.448455850369726
23,Raspberry___healthy,3.849370902002481
24,Soybean___healthy,0.28076207217454247
25,Squash___Powdery_mildew,0.7787896170945073
26,Strawberry___Leaf_scorch,1.2889099863525781
27,Strawberry___healthy,3.1408328513591672
28,Tomato___Bacterial_spot,0.6717174840744635
29,Tomato___Early_blight,1.4290789473684211
30,Tomato___Late_blight,0.7486988591321132
31,Tomato___Leaf_Mold,1.5023168960509026
32,Tomato___Septoria_leaf_spot,0.8068194480555658
33,Tomato___Spider_mites Two-spotted_spider_mite,0.8525452333294086
34,Tomato___Target_Spot,1.0180437737263908
35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.26674362060073187
36,Tomato___Tomato_mosaic_virus,3.8236226016546384
37,Tomato___healthy,0.8980857485426055
